,algo_name,iqm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Single-Task SAC,iqm_success,0.0,0.0,0.0,0.0019230769230769232,0.032692307692307694,0.0923076923076923,0.1846153846153846,0.2673076923076923,0.35,0.5076923076923077,0.6442307692307693,0.8211538461538462,0.8576923076923078,0.8884615384615385,0.9384615384615385,0.9615384615384616,0.9807692307692307,0.9807692307692307,0.9884615384615384,0.9942307692307693,0.9942307692307693,0.9980769230769231,0.9980769230769231,1.0,1.0
1,Single-Task SAC,iqm_lower,0.0,0.0,0.0,0.0,0.007692307692307693,0.04230769230769231,0.09038461538461538,0.16538461538461538,0.2326923076923077,0.3442307692307693,0.47884615384615387,0.7076923076923077,0.75,0.7884615384615384,0.8442307692307692,0.875,0.8961538461538461,0.8961538461538461,0.926923076923077,0.9346153846153846,0.9557692307692308,0.9692307692307693,0.9692307692307692,0.9807692307692307,0.9961538461538461
2,Single-Task SAC,iqm_upper,0.0,0.0,0.0,0.01346153846153846,0.08076923076923077,0.18461538461538465,0.30769230769230765,0.39423076923076916,0.4846153846153846,0.6711538461538461,0.7884615384615384,0.9134615384615384,0.9384615384615385,0.9557692307692308,0.9884615384615384,0.9961538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,+reversal aug,iqm_success,0.0,0.0,0.0,0.0,0.057692307692307696,0.20961538461538462,0.5076923076923077,0.7153846153846153,0.7519230769230768,0.8057692307692308,0.8999999999999999,0.9423076923076923,0.9788461538461538,0.9903846153846154,0.9942307692307693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,+reversal aug,iqm_lower,0.0,0.0,0.0,0.0,0.028846153846153848,0.12307692307692308,0.3634615384615385,0.5788461538461539,0.6192307692307693,0.6807692307692308,0.7807692307692307,0.8384615384615384,0.926923076923077,0.9653846153846154,0.9788461538461539,0.9903846153846154,0.9923076923076923,0.9942307692307693,0.9980769230769231,1.0,1.0,1.0,1.0,1.0,1.0
5,+reversal aug,iqm_upper,0.0,0.0,0.0,0.00576923076923077,0.12500000000000003,0.3173076923076923,0.6557692307692308,0.8288461538461538,0.8596153846153847,0.9134615384615384,0.976923076923077,0.9903846153846154,0.9942307692307693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,+reversal reward shaping,iqm_success,0.0,0.0,0.0,0.019230769230769232,0.08076923076923077,0.25000000000000006,0.3211538461538461,0.475,0.5653846153846154,0.6961538461538462,0.8057692307692309,0.9134615384615384,0.9307692307692309,0.9711538461538461,0.976923076923077,0.9788461538461539,0.9961538461538461,0.9980769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,+reversal reward shaping,iqm_lower,0.0,0.0,0.0,0.00576923076923077,0.04230769230769231,0.15961538461538463,0.2115384615384615,0.34615384615384615,0.43461538461538457,0.551923076923077,0.6711538461538461,0.7884615384615384,0.8153846153846154,0.9057692307692308,0.925,0.9384615384615386,0.9711538461538461,0.9788461538461539,0.9942307692307693,0.9980769230769231,0.9980769230769231,0.9980769230769231,1.0,1.0,1.0
8,+reversal reward shaping,iqm_upper,0.0,0.0,0.0038461538461538464,0.04615384615384615,0.14615384615384613,0.36730769230769234,0.4480769230769231,0.6076923076923076,0.6923076923076923,0.823076923076923,0.9096153846153846,0.9769230769230769,0.9846153846153847,0.9942307692307693,0.9961538461538461,0.9980769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Single-Task TR-SAC,iqm_success,0.0,0.0,0.0,0.055769230769230765,0.18076923076923077,0.3288461538461538,0.43653846153846154,0.7326923076923075,0.8192307692307692,0.9192307692307692,0.9423076923076923,0.9730769230769231,0.9923076923076923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Single-Task TR-SAC,iqm_lower,0.0,0.0,0.0,0.005721153846155859,0.08653846153846155,0.1903846153846154,0.2865384615384615,0.5826923076923076,0.675,0.8076923076923077,0.8519230769230769,0.9211538461538461,0.9596153846153848,0.9923076923076923,0.9942307692307693,0.9980769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Single-Task TR-SAC,iqm_upper,0.0,0.0,0.0,0.14615384615384613,0.31153846153846154,0.4673076923076923,0.5846153846153845,0.8557692307692307,0.9307692307692309,0.9865384615384615,0.9884615384615384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
